Time (s),FPS,CPU Usage (%) (MainThreadTime),Total Allocated Memory (MB),Reserved Memory (MB),Mono Memory (MB)
9.98,36.28,100.00,630.03,1040.54,700.21
19.99,30.02,93.10,640.33,1064.55,671.48
30.08,46.30,99.15,641.30,1064.55,661.13
40.09,37.21,93.83,665.28,1064.55,691.86
50.10,37.98,99.76,653.55,1080.55,679.35
60.33,33.21,100.00,647.12,1080.55,664.92
70.57,5.12,60.53,658.10,1080.55,678.78
80.61,4.77,26.94,660.33,1080.55,687.89
90.78,4.54,26.43,662.70,1080.55,698.88
100.93,5.62,21.69,655.55,1080.55,707.68
111.03,6.48,14.58,651.27,1080.55,712.82
123.03,0.64,17.35,640.19,1080.55,669.33
133.15,8.18,9.68,640.20,1080.55,677.03
143.20,7.51,8.89,640.06,1080.55,685.44
153.29,8.57,9.60,640.08,1080.55,693.63
163.40,7.57,8.02,642.02,1080.55,703.17
173.44,8.46,8.72,642.04,1080.55,712.79
183.53,1.31,1.39,642.01,1080.55,669.01
193.57,8.21,9.11,642.01,1080.55,677.42
203.61,8.20,9.36,642.02,1080.55,685.95
213.68,8.38,11.33,642.02,1080.55,690.57
223.72,8.56,9.18,642.02,1080.55,695.38
233.73,4.98,5.56,643.01,1080.55,701.23
243.82,1.81,1.87,642.04,1080.55,666.86
253.92,8.53,8.90,642.04,1080.55,672.19
263.93,8.46,9.56,642.05,1080.55,677.92
274.02,8.38,8.74,642.05,1080.55,684.76
284.11,6.52,10.38,642.06,1080.55,693.34
294.14,8.38,8.78,642.06,1080.55,703.75
304.15,5.93,6.63,642.04,1080.55,668.61
314.26,8.17,9.98,642.04,1080.55,679.25
324.32,7.91,8.56,643.06,1080.55,686.63
334.37,7.94,9.25,642.05,1080.55,695.98
344.46,8.48,8.95,643.10,1080.55,706.17
354.57,8.79,8.51,646.05,1080.55,715.19
364.63,6.81,8.35,646.02,1080.55,667.86
374.74,8.76,9.20,646.03,1080.55,673.46
384.80,8.55,11.20,646.03,1080.55,680.45
394.88,8.88,8.74,646.02,1080.55,685.70
404.89,8.59,8.67,646.04,1080.55,692.83
414.97,8.14,9.24,646.04,1080.55,703.78
425.03,5.76,6.35,647.10,1080.55,668.90
435.03,8.50,8.61,646.02,1080.55,674.00
445.08,8.66,9.29,646.01,1080.55,680.61
455.09,8.03,8.42,647.01,1080.55,687.79
465.16,8.26,8.63,646.03,1080.55,695.23
475.17,8.03,9.06,646.04,1080.55,703.67
485.25,6.72,7.69,647.18,1080.55,668.38
495.30,9.28,9.30,646.03,1080.55,675.44
505.32,8.78,9.01,646.04,1080.55,683.35
515.43,9.39,9.26,646.04,1080.55,689.11
525.50,8.99,8.97,646.05,1080.55,696.90
535.54,8.68,8.74,646.06,1080.55,704.77
545.58,8.36,9.03,646.04,1080.55,669.79
555.67,8.53,9.63,646.56,1080.55,679.64
565.77,8.72,11.30,646.56,1080.55,686.27
575.81,7.29,7.72,646.57,1080.55,693.09
585.85,8.09,9.32,646.59,1080.55,700.63
595.94,8.69,9.70,646.59,1080.55,707.13
606.00,7.97,8.46,646.57,1080.55,669.64
616.09,8.54,8.61,646.57,1080.55,675.94
626.13,7.53,8.78,646.58,1080.55,682.11
636.14,8.78,9.36,646.58,1080.55,689.68
646.16,8.59,9.32,646.59,1080.55,697.80
656.23,9.81,9.28,646.60,1080.55,705.02
666.30,9.60,8.99,646.57,1080.55,669.93
676.35,9.10,8.55,647.60,1080.55,678.68
686.41,9.36,9.32,646.58,1080.55,688.54
696.47,8.95,8.25,646.58,1080.55,697.96
706.49,9.83,9.67,646.58,1080.55,704.98
