Time (s),FPS,CPU Usage (%) (MainThreadTime),Total Allocated Memory (MB),Reserved Memory (MB),Mono Memory (MB)
716.59,9.73,9.02,646.59,1080.55,712.33
726.62,9.85,9.36,646.57,1080.55,669.11
736.66,9.41,8.71,646.57,1080.55,676.79
746.75,9.76,8.88,646.57,1080.55,683.32
756.82,9.58,8.76,654.58,1096.55,689.05
766.87,9.19,9.04,654.58,1096.55,696.33
776.97,9.55,8.64,654.59,1096.55,704.40
787.06,9.58,9.07,655.57,1096.55,669.89
797.15,7.79,8.49,654.64,1096.55,678.01
807.23,7.73,9.09,654.47,1096.55,687.26
817.43,3.79,9.59,654.46,1096.55,697.00
827.50,4.37,9.03,654.47,1096.55,706.04
837.61,4.60,9.57,654.47,1096.55,714.59
847.63,10.04,10.14,654.63,1096.55,670.71
857.66,11.49,9.33,654.62,1096.55,673.08
867.75,8.49,6.05,654.62,1096.55,673.91
877.81,7.51,5.05,654.54,1096.55,674.32
887.92,8.36,4.71,654.55,1096.55,674.38
898.02,8.55,4.90,654.55,1096.55,674.45
908.15,6.81,4.88,654.54,1096.55,665.80
918.23,8.76,4.82,654.54,1096.55,665.82
928.26,5.66,5.45,654.54,1096.55,665.87
938.37,8.20,4.65,654.54,1096.55,665.93
948.48,8.25,5.58,654.54,1096.55,665.99
958.56,8.60,4.80,654.54,1096.55,666.05
968.56,9.26,4.75,654.54,1096.55,665.80
978.63,9.55,4.72,654.54,1096.55,665.84
988.66,9.21,4.71,654.54,1096.55,665.90
998.69,5.41,3.22,654.54,1096.55,665.96
1008.80,5.96,3.93,654.54,1096.55,666.02
1018.81,6.16,4.68,654.54,1096.55,666.05
1028.87,6.69,6.56,654.54,1096.55,665.80
1038.92,6.82,13.44,654.54,1096.55,665.80
1048.93,5.58,5.96,654.54,1096.55,665.85
1058.96,5.97,3.63,654.54,1096.55,665.89
1069.06,6.49,3.99,654.54,1096.55,665.94
1079.19,7.48,5.48,654.54,1096.55,666.00
1089.27,6.29,3.51,655.05,1096.55,665.80
1099.36,5.28,4.00,655.05,1096.55,665.81
1109.39,7.76,4.96,655.05,1096.55,665.86
1119.43,8.79,4.57,655.05,1096.55,665.92
1129.53,8.65,6.38,655.05,1096.55,665.98
1139.60,8.98,4.21,655.05,1096.55,666.04
1149.61,8.70,4.17,655.05,1096.55,665.80
1159.68,8.80,3.97,655.05,1096.55,665.83
1169.80,8.62,6.42,655.05,1096.55,665.90
1179.85,8.73,6.06,655.05,1096.55,665.96
1189.93,8.87,3.91,655.05,1096.55,666.02
1199.95,9.59,10.11,655.05,1096.55,666.09
1210.01,9.63,4.11,655.05,1096.55,665.80
1220.12,9.83,4.22,655.05,1096.55,665.84
1230.19,9.41,7.20,655.05,1096.55,665.91
1240.40,3.68,7.75,655.05,1096.55,665.96
1250.53,8.35,6.58,656.05,1096.55,666.02
1260.54,8.94,6.10,655.05,1096.55,666.09
1270.59,8.69,4.55,655.09,1096.55,665.80
1280.63,8.59,4.13,655.09,1096.55,665.83
1290.67,7.85,3.79,655.09,1096.55,665.89
1300.71,8.26,4.07,655.09,1096.55,665.95
1310.74,7.75,3.98,655.09,1096.55,666.00
1320.88,6.94,5.89,655.09,1096.55,666.50
1330.93,7.75,4.47,655.13,1096.55,665.80
1340.97,7.87,4.60,655.13,1096.55,665.82
1350.97,6.90,3.76,655.19,1096.55,666.75
1361.18,5.55,5.96,655.13,1096.55,667.84
1371.25,4.65,6.12,655.12,1096.55,669.07
1381.29,5.00,5.12,655.12,1096.55,665.80
1391.40,5.89,4.38,655.12,1096.55,667.16
1401.56,5.08,5.71,655.12,1096.55,669.20
1411.59,4.70,5.33,655.13,1096.55,671.90
1421.71,4.41,5.06,655.13,1096.55,675.41
1431.90,4.13,5.37,655.14,1096.55,680.11
1447.95,0.15,5.22,655.16,1096.55,670.39
1458.11,3.52,4.64,655.56,1096.55,676.05
1468.35,4.00,5.29,655.65,1096.55,680.60
1478.49,4.16,4.05,655.61,1096.55,685.91
1488.78,1.15,6.83,658.44,1096.55,721.36
1499.12,1.17,4.19,661.14,1096.55,764.03
1513.67,0.21,5.00,661.01,1096.56,726.90
1524.13,0.96,4.97,661.00,1096.56,772.00
1534.56,1.98,4.72,661.02,1096.56,795.21
1544.73,1.90,3.73,662.01,1096.56,693.52
1555.03,2.50,4.77,660.93,1096.56,709.29
1568.72,0.43,13.22,660.90,1096.56,680.91
1579.04,3.09,5.03,661.79,1096.56,698.34
1589.08,2.40,4.80,661.78,1096.56,716.25
1599.27,2.52,5.02,662.36,1096.56,742.24
1609.33,1.95,5.27,662.37,1096.56,759.05
1619.69,2.45,4.56,663.54,1096.56,774.60
1630.50,0.64,4.99,663.37,1096.56,684.11
1640.69,2.54,4.58,663.37,1096.56,700.21
1650.82,2.44,4.68,662.36,1096.56,714.63
1661.02,2.26,4.58,662.37,1096.56,731.22
1671.35,2.47,4.35,663.43,1096.56,746.41
1681.67,2.53,4.81,662.38,1096.56,762.19
1692.24,0.52,2.59,662.36,1096.56,690.91
1702.45,2.73,4.58,663.38,1096.56,706.96
1712.53,2.43,5.50,662.35,1096.56,720.46
1722.56,2.48,5.53,662.34,1096.56,732.80
1732.72,2.62,4.24,662.34,1096.56,745.45
1742.99,2.82,5.14,662.36,1096.56,758.04
1753.30,1.26,4.79,662.32,1096.56,686.21
1763.37,2.45,4.99,662.33,1096.56,699.88
1773.61,2.60,5.66,662.35,1096.56,715.62
1784.05,2.51,6.18,662.36,1096.56,729.86
1794.33,2.56,4.45,662.36,1096.56,744.20
1809.40,0.32,9.43,662.31,1096.56,678.93
1819.45,2.75,5.24,662.31,1096.56,690.41
1829.55,2.68,4.99,662.33,1096.56,701.76
1839.88,2.69,5.23,663.35,1096.56,716.32
1849.95,2.54,5.32,663.54,1096.56,730.33
1859.98,2.69,5.66,663.36,1096.56,742.24
1870.91,0.71,4.97,662.32,1096.56,681.93
1881.01,2.64,5.24,662.33,1096.56,695.48
1891.22,2.71,4.62,662.33,1096.56,707.75
1901.51,2.38,4.00,662.35,1096.56,719.47
1911.55,2.58,4.73,663.39,1096.56,732.00
1921.66,2.59,6.28,662.35,1096.56,744.86
1932.35,0.60,2.85,662.32,1096.56,688.29
1942.54,2.45,4.74,662.32,1096.56,706.07
1952.62,2.59,5.40,662.34,1096.56,722.00
1962.90,2.35,4.68,662.36,1096.56,736.31
1973.32,2.31,5.77,662.37,1096.56,749.54
1983.49,2.59,5.27,662.38,1096.56,762.37
1993.88,1.34,2.60,662.36,1096.56,688.91
2003.93,2.58,4.75,662.35,1096.56,701.97
2014.03,2.69,5.29,662.37,1096.56,714.07
2024.21,2.43,5.12,663.44,1096.56,727.70
2034.64,2.23,5.40,662.41,1096.56,738.98
2050.11,0.16,5.00,662.36,1096.56,680.15
2060.46,2.44,4.50,663.39,1096.56,692.14
2070.47,2.51,5.16,662.38,1096.56,705.80
2080.84,2.41,4.78,662.39,1096.56,721.98
2091.07,2.91,7.22,662.40,1096.56,731.52
2101.18,2.53,5.20,663.46,1096.56,742.71
2111.29,0.86,5.00,662.38,1096.56,678.32
2121.37,2.50,4.52,662.38,1096.56,688.34
2131.46,2.73,4.39,663.41,1096.56,698.77
2141.76,2.81,4.27,662.39,1096.56,709.51
2152.15,2.57,6.06,663.41,1096.56,722.18
2162.54,2.37,5.33,662.40,1096.56,734.96
2172.74,0.52,5.00,662.35,1096.56,687.25
2182.85,2.53,4.23,662.37,1096.56,700.20
2193.24,2.71,5.61,662.37,1096.56,712.83
2203.50,2.67,5.09,662.37,1096.56,724.47
2213.73,2.54,4.73,663.55,1096.56,738.64
2224.86,0.75,8.57,662.36,1096.56,674.11
2237.14,0.43,5.00,662.39,1096.56,694.26
2247.28,2.11,4.54,662.41,1096.56,707.04
2257.46,2.77,5.05,662.42,1096.56,717.96
2270.57,0.15,9.62,662.40,1096.56,739.32
2280.65,0.94,5.00,662.42,1096.56,759.71
2291.58,0.40,15.95,662.38,1096.56,682.90
2301.94,2.83,5.87,662.39,1096.56,697.21
2311.95,3.05,5.88,662.39,1096.56,708.39
2321.99,3.92,4.04,662.39,1096.56,713.23
2332.18,4.63,5.05,662.40,1096.56,714.20
2342.26,5.23,4.14,662.40,1096.56,714.54
2352.26,3.42,2.30,662.30,1096.56,674.11
2362.30,5.09,3.77,662.30,1096.56,674.12
2372.53,5.96,6.91,662.31,1096.56,674.16
2382.59,5.61,6.93,662.31,1096.56,674.20
2392.69,5.84,4.51,662.31,1096.56,674.25
2402.80,6.24,7.80,662.31,1096.56,674.29
2412.89,6.75,4.27,662.30,1096.56,674.11
2422.91,6.63,3.95,662.30,1096.56,674.13
2433.06,6.97,5.99,662.31,1096.56,674.17
2443.12,7.18,7.58,662.31,1096.56,674.22
2453.21,6.60,3.82,662.31,1096.56,674.27
2463.30,6.24,3.83,662.31,1096.56,674.32
2473.52,2.78,3.09,662.30,1096.56,674.11
2483.60,7.12,4.29,662.30,1096.56,674.13
2493.67,7.26,3.86,662.31,1096.56,674.18
2503.72,7.19,4.77,662.31,1096.56,674.23
2513.74,7.77,5.72,662.31,1096.56,674.28
2523.78,7.59,5.88,662.80,1096.56,674.60
2533.79,7.16,5.55,662.79,1096.56,674.11
2543.87,7.74,4.29,662.79,1096.56,674.14
2553.95,7.74,3.82,662.79,1096.56,674.19
2563.97,8.20,3.99,662.79,1096.56,674.25
2574.00,6.86,3.69,662.80,1096.56,674.30
2584.05,7.66,4.80,662.80,1096.56,674.35
2594.06,7.80,5.45,662.79,1096.56,674.11
2604.18,3.87,4.51,662.79,1096.56,674.14
2614.26,7.99,3.90,662.79,1096.56,674.19
2624.29,8.64,4.10,662.80,1096.56,674.25
2634.31,8.22,3.77,662.80,1096.56,674.30
2644.47,8.07,7.11,662.80,1096.56,674.36
2654.56,8.40,4.83,662.79,1096.56,674.11
2664.60,7.86,4.35,662.79,1096.56,674.14
2674.72,8.54,5.63,662.79,1096.56,674.20
2684.80,7.65,5.71,662.80,1096.56,674.26
2694.85,7.74,4.56,662.80,1096.56,674.32
2704.93,7.76,3.65,662.80,1096.56,674.37
2715.04,6.48,3.54,662.79,1096.56,674.11
2725.24,6.71,7.44,662.83,1096.56,674.41
2735.29,7.17,3.79,662.83,1096.56,675.43
2745.30,7.46,4.24,662.88,1096.56,676.30
2755.30,6.50,3.63,662.88,1096.56,677.57
2765.31,7.27,4.14,662.88,1096.56,679.02
2775.33,6.67,3.71,662.87,1096.56,674.82
2785.43,6.42,5.72,662.87,1096.56,675.79
2795.44,6.50,5.70,662.87,1096.56,677.66
2805.54,6.36,6.76,662.88,1096.56,679.66
2815.55,6.26,5.10,662.88,1096.56,681.47
2825.55,5.78,6.24,662.88,1096.56,674.11
2835.57,5.45,5.00,662.87,1096.56,676.20
2845.65,4.46,4.45,662.88,1096.56,681.45
2855.90,3.89,4.83,662.89,1096.56,688.93
2866.12,4.10,4.61,662.90,1096.56,697.58
2876.16,3.85,6.15,662.90,1096.56,706.11
2891.49,0.32,9.52,662.86,1096.56,681.37
2901.56,2.87,4.42,662.83,1096.56,696.56
2911.90,3.03,5.19,662.81,1096.56,710.87
2922.08,3.28,5.16,662.80,1096.56,724.00
2932.16,1.48,3.56,663.83,1096.56,742.09
2942.63,1.56,5.07,665.13,1096.56,771.57
2954.81,0.35,5.00,665.59,1096.56,703.89
2965.01,1.74,3.72,666.07,1096.56,736.40
2976.22,0.53,5.02,666.72,1096.56,775.69
2986.50,1.18,4.97,667.80,1096.56,691.79
2997.15,0.61,5.00,668.05,1096.56,747.59
3012.50,0.15,5.08,668.02,1096.56,719.37
3025.74,0.27,5.00,668.02,1096.56,802.91
3037.18,0.47,5.00,668.02,1096.56,735.47
3047.69,1.77,5.19,669.05,1096.56,767.94
3057.84,1.97,5.13,669.06,1096.56,790.43
3072.80,0.27,8.70,667.97,1096.56,696.61
3083.14,2.14,5.26,669.02,1096.56,720.77
3093.43,1.98,5.17,667.99,1096.56,743.18
3103.69,2.25,4.80,667.88,1096.56,760.61
3113.80,1.99,4.43,668.92,1096.56,777.80
3123.89,2.27,4.72,667.91,1096.56,795.67
3136.27,0.37,5.00,668.56,1096.56,706.07
3146.53,2.48,6.41,668.52,1096.56,726.78
3156.63,1.55,5.31,668.51,1096.56,751.17
3166.67,2.00,4.46,669.53,1096.56,772.94
3176.95,1.89,4.52,668.53,1096.56,795.40
3190.82,0.24,5.00,670.37,1096.56,685.07
3202.32,0.21,5.00,670.38,1096.56,741.89
3212.79,0.83,3.88,671.58,1096.56,783.91
3222.79,1.92,4.85,670.39,1096.56,809.36
3232.93,1.93,5.02,670.38,1096.56,709.65
3243.10,1.98,4.76,670.39,1096.56,735.76
3257.79,0.16,5.00,670.34,1096.56,703.61
3267.98,1.78,4.48,670.34,1096.56,733.96
3278.31,1.92,4.82,671.40,1096.56,757.25
3288.49,1.92,4.64,671.41,1096.56,779.59
3298.84,1.52,4.84,671.39,1096.56,799.92
3309.36,1.49,4.61,670.37,1096.56,697.05
3320.45,0.39,5.00,670.34,1096.56,706.08
3330.90,1.85,4.56,670.36,1096.56,728.81
3340.94,1.93,5.25,670.37,1096.56,748.75
3351.39,1.79,5.24,670.39,1096.56,771.19
3361.40,2.07,6.21,671.43,1096.56,791.68
3371.79,1.86,6.62,671.39,1096.56,685.02
3382.52,0.69,4.99,670.37,1096.56,710.26
3392.74,1.78,4.46,670.34,1096.56,733.27
3402.77,1.94,4.59,671.36,1096.56,752.20
3413.31,1.81,5.25,671.38,1096.56,775.54
3423.57,1.95,5.72,671.43,1096.56,798.01
3438.13,0.16,5.00,670.32,1096.56,701.82
3448.80,1.51,5.56,670.32,1096.56,737.39
3459.30,1.57,4.86,671.44,1096.56,762.47
3469.75,1.38,5.03,670.37,1096.56,789.18
3479.92,0.72,3.00,670.31,1096.56,689.08
3490.14,1.53,5.10,671.35,1096.56,712.11
3501.71,0.37,5.01,670.33,1096.56,704.93
3511.93,1.78,4.34,671.44,1096.56,724.89
3522.07,1.82,5.45,671.38,1096.56,745.30
3532.65,1.90,5.61,670.36,1096.56,767.73
3543.02,1.61,5.09,670.38,1096.56,792.14
3553.39,0.88,5.26,671.42,1096.56,685.02
3563.54,0.81,4.98,670.34,1096.56,706.47
3573.72,1.94,5.25,670.35,1096.56,727.24
3583.83,1.83,4.89,671.37,1096.56,748.76
3594.15,1.77,5.04,671.43,1096.56,775.39
3604.30,1.71,4.90,671.40,1096.56,797.94
3620.29,0.27,9.34,670.32,1096.56,698.11
3630.70,1.95,4.61,670.35,1096.56,722.33
3640.78,1.61,4.83,671.43,1096.56,745.54
3651.20,1.46,4.30,670.38,1096.56,773.34
3661.23,1.52,5.14,670.39,1096.56,799.10
3671.69,1.47,4.97,670.34,1096.56,705.63
3683.16,0.33,5.00,670.33,1096.56,712.52
3693.37,1.58,4.82,671.32,1096.56,740.95
3703.96,1.71,5.09,671.37,1096.56,767.66
3714.33,0.99,3.94,671.43,1096.56,794.01
3724.93,0.85,3.88,686.36,1112.56,692.43
3740.58,0.16,5.00,686.35,1112.56,702.40
3750.68,1.98,4.77,686.36,1112.56,731.45
3760.98,1.96,5.65,686.35,1112.56,758.40
3771.03,2.78,5.05,686.36,1112.56,775.79
3781.13,3.22,4.76,686.36,1112.56,784.73
3791.15,4.11,4.79,686.36,1112.56,786.26
3801.18,0.61,0.82,686.34,1112.56,685.02
3811.21,5.22,6.05,686.26,1112.56,685.03
3821.24,5.36,4.37,686.26,1112.56,685.07
3831.31,5.69,4.21,686.27,1112.56,685.11
3841.48,5.44,5.21,686.27,1112.56,685.14
3851.59,5.86,5.76,686.27,1112.56,685.18
3861.66,3.47,3.00,686.26,1112.56,685.02
3871.67,5.59,4.13,686.26,1112.56,685.03
3881.73,5.88,4.19,686.26,1112.56,685.07
3891.84,5.93,6.10,686.27,1112.56,685.11
3902.01,6.21,14.19,686.27,1112.56,685.16
3912.18,5.98,5.27,686.27,1112.56,685.20
3922.37,2.36,2.66,686.26,1112.56,685.02
3932.37,6.23,3.82,686.26,1112.56,685.04
3942.53,6.66,6.59,686.26,1112.56,685.08
3952.64,6.97,4.55,686.27,1112.56,685.13
3962.65,70.41,44.35,686.16,1112.56,693.49
3972.65,11.16,18.67,686.31,1112.56,696.68
3982.72,10.25,20.76,686.15,1112.56,685.28
3992.83,8.24,15.44,686.15,1112.56,685.40
4002.89,5.66,17.67,700.30,1112.56,692.03
4013.01,3.40,16.28,700.39,1114.56,692.75
4023.04,3.41,14.59,700.47,1114.56,693.42
4033.28,3.48,14.54,700.56,1114.56,694.14
4043.44,4.28,16.19,694.78,1114.56,690.07
4053.61,4.15,16.55,694.88,1114.56,690.78
4063.70,7.88,12.05,686.81,1114.56,692.10
4073.71,10.61,17.68,686.81,1114.56,692.26
4083.78,10.08,16.15,686.81,1114.56,692.42
4093.82,9.73,16.08,686.81,1114.56,692.61
4103.85,37.52,22.11,686.57,1114.56,689.17
4113.86,27.60,16.79,686.57,1114.56,689.50
4123.87,24.18,16.62,686.57,1114.56,689.76
4133.88,29.78,20.03,686.58,1114.56,690.68
4143.89,24.14,17.89,686.50,1114.56,692.00
4153.92,32.17,17.96,686.50,1114.56,693.58
4163.95,30.98,15.72,686.50,1114.56,688.65
4173.96,19.53,14.78,686.73,1114.56,689.09
