Time (s),FPS,CPU Usage (%) (MainThreadTime),Total Allocated Memory (MB),Reserved Memory (MB),Mono Memory (MB)
9.99,60.12,100,599.85,996.65,645.27
19.99,54.97,96.47,602.76,1020.66,599.34
30.01,55.28,100,602.24,1020.66,624.45
40.02,56.36,100,602.24,1020.66,644.71
50.03,57.06,100,603.38,1020.66,664.77
60.23,57.12,100,603.51,1020.66,584.83
70.25,47.99,84.74,604.26,1020.66,592.43
80.25,55.97,99.71,606.7,1020.66,603.64
90.26,56.46,98.97,605.51,1020.66,615.32
100.27,56.2,100,606.58,1020.66,631.53
110.27,55.56,100,606.68,1020.66,648.66
120.28,53.57,100,609.83,1020.66,585.64
130.29,53.46,100,609.83,1020.66,594.17
140.3,51.98,91.93,610.87,1020.66,606.25
150.31,46.74,85.53,610.92,1020.66,619.44
160.31,54.75,99.6,609.99,1020.66,639.62
170.32,54.06,99.05,610,1020.66,658.5
180.33,51,100,610.11,1020.66,585.12
190.35,54.12,98.84,617.99,1036.66,595.56
200.36,51.5,94.96,618.12,1036.66,608
210.38,54.59,100,618.14,1036.66,622.68
220.39,53.63,100,619.24,1036.66,639.1
230.39,53.58,100,618.51,1036.66,660.21
240.39,53.49,98.47,618.61,1036.66,585.12
250.41,47.22,97.67,618.61,1036.66,593.77
260.43,53.32,100,618.66,1036.66,604.39
270.44,53.39,98.97,619.69,1036.67,619.76
280.44,53,97.24,618.68,1036.67,638.45
290.45,53.16,100,618.7,1036.67,660.08
300.46,35.95,74.28,619.23,1036.67,585.57
310.47,53.35,98.42,635.24,1052.66,594.68
320.48,53.53,94.26,636.41,1052.66,606.3
330.49,53.04,100,635.25,1052.66,620.5
340.5,53.31,99.72,635.26,1052.66,638.37
350.5,52.58,97.94,635.26,1052.66,654.43
360.51,53.2,98.41,635.25,1052.66,586.34
370.51,53.14,99.11,636.26,1052.66,593.71
380.51,53.47,99.64,635.27,1052.66,605.23
390.52,52.23,96.58,635.28,1052.66,621.21
400.54,53.4,96.96,635.29,1052.66,639.93
410.55,53.57,99.6,636.33,1052.66,657.59
420.57,42.78,81.16,635.27,1052.66,585.72
430.58,49.14,100,635.28,1052.67,595.53
440.58,53.61,100,635.29,1052.67,607.44
450.59,52.96,97.67,635.29,1052.67,623.84
460.61,53.87,97.64,635.29,1052.67,640.66
470.62,53.69,99.67,635.31,1052.67,659.39
480.63,52.85,100,635.29,1052.67,585.87
490.64,55.7,95.62,635.29,1052.67,594.95
500.64,56.04,100,636.33,1052.67,606.29
510.65,47.35,81.27,636.34,1052.67,618.53
520.66,51.52,99.31,635.3,1052.67,636.05
530.67,55.32,97.95,635.31,1052.67,653.39
540.68,43.27,77.06,635.34,1052.67,586.74
550.69,54.26,95.18,635.53,1052.67,595.16
560.69,55.37,99.01,636.55,1052.67,605.16
570.69,54.69,100,667.57,1084.66,616.09
580.7,55.97,100,667.59,1084.67,633.38
590.72,54.82,100,667.62,1084.67,650.11
600.72,45.41,85.91,667.56,1084.67,586.89
610.73,54.87,99.31,667.56,1084.67,595.24
620.73,51.1,100,668.6,1084.67,607.21
630.75,55.67,98.41,667.58,1084.67,619.09
640.76,55.71,99.88,668.61,1084.67,636.33
650.76,55.57,97.51,667.59,1084.67,653.19
660.77,53.16,94.56,667.56,1084.67,586.94
670.79,55.81,98.98,667.56,1084.67,592.85
680.8,55.93,97.14,667.57,1084.67,603.74
690.82,55.97,97.88,668.6,1084.67,617.45
700.82,55.46,96.82,667.59,1084.67,635.9
710.83,55.68,99.57,667.67,1084.67,653.52
720.84,41.99,78.99,668.67,1084.67,586.95
730.84,55.86,99.64,667.66,1084.67,595.55
740.85,54.99,99.68,667.66,1084.67,606.1
750.87,55.42,99.11,667.67,1084.67,619.3
760.87,56.05,97.34,667.67,1084.67,635.77
770.88,55.7,97.27,668.71,1084.67,651.66
780.89,55.79,98.19,667.64,1084.67,586.98
790.89,56.07,98.13,667.67,1084.67,592.76
800.91,56.01,99.81,667.68,1084.67,600.6
810.92,55.68,100,667.69,1084.67,610.41
820.93,56.3,100,667.69,1084.67,624.15
830.94,55.44,95.43,668.7,1084.67,640.03
840.95,44.35,80.25,667.67,1084.67,586.94
850.95,60.9,100,667.67,1084.67,589.42
860.95,63.26,95.88,667.68,1084.67,593.37
870.97,65.13,100,667.59,1084.67,598.33
880.97,66.18,99.8,667.6,1084.67,606.97
890.97,65.03,100,667.6,1084.67,617.05
900.98,66.57,100,667.59,1084.67,586.52
910.99,57.64,87.87,667.59,1084.67,587
920.99,62.13,99.71,667.59,1084.67,590.69
931,65.91,97.35,667.6,1084.67,595.41
941.01,66.47,100,667.6,1084.67,601.37
951.01,66.63,100,667.6,1084.67,610.34
961.01,53.51,89.83,667.59,1084.67,586.48
971.01,67.71,100,667.59,1084.67,586.94
981.02,67.81,100,667.59,1084.67,590.32
991.03,59.34,100,667.6,1084.67,594.63
1001.04,67.85,97.38,667.6,1084.67,600
1011.05,67.42,96.4,667.6,1084.67,605.84
1021.07,52.68,75.79,667.59,1084.67,586.45
1031.07,67.99,94.45,667.59,1084.67,586.9
1041.08,69.12,100,667.59,1084.67,589.91
1051.08,68.53,100,667.6,1084.67,594.45
1061.1,57.59,100,667.6,1084.67,599.45
1071.1,68.65,100,667.6,1084.67,604.49
